text,true_label,svm_prediction,distilbert_prediction,svm_error,distilbert_error,both_wrong,models_disagree,text_length,word_count,has_url,has_phone_or_shortcode,has_money,has_promotion,has_urgency,has_financial,has_subscription,has_reward,has_question,has_exclamation,length_category,error_type
Life has no second edition to correct it later. It has only one edition which should be the best so be careful while writing every page.,1,0,1,True,False,False,True,136,26,False,False,False,False,False,False,False,False,False,False,Medium,SVM Wrong Only
Salami Afusat 00XXXXXX33Gtb,0,1,0,True,False,False,True,27,3,False,False,False,False,False,False,False,False,False,False,Very Short,SVM Wrong Only
Did you know that employers only spend 6 seconds scanning through CVs? Make the most of it! To receive daily job search tips from SHORTLIST,1,1,1,False,False,False,False,139,25,False,False,False,False,True,False,True,False,True,True,Medium,Both Correct
The bus comes to Monroeville and u can call me once u get to Monroeville and I will tell u where to get off the bus,0,0,0,False,False,False,False,115,26,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
Come.See.Experience..Acquire! Share the fun & gains @ the Convocation Research & Agric. Fair @ 10am 2day. Venue: Ceremonial Building. Don't be told. Be there.,0,0,0,False,False,False,False,158,24,False,False,False,False,False,False,False,False,False,True,Medium,Both Correct
On your main balance,1,1,1,False,False,False,False,20,4,False,False,False,False,False,True,False,False,False,False,Very Short,Both Correct
Morning sir. Ao is the family and work over there? Can u kindly send me Dr. Ezobo's number I want to find out about his structure at isolu.,0,0,0,False,False,False,False,139,28,False,False,False,False,False,False,False,False,True,False,Medium,Both Correct
B4 pple Begin 2 circul8 pirates,0,0,0,False,False,False,False,31,6,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Tnks plant t.v,0,0,0,False,False,False,False,14,3,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
Wow! Airtel has given you 5mins FREE Airtel to Airtel credit to call your friends & loved ones this week. Hurry start calling. Call 141 now for mor,0,1,1,True,True,True,False,147,28,False,False,True,True,True,True,False,False,False,True,Medium,Both Wrong
As u step in2 anoda yr of ur lif,0,0,0,False,False,False,False,32,9,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Pls am i stil seein u 2dae,0,0,0,False,False,False,False,26,7,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
Av been tryin to reach u bt ur no has nt been going. Anyway guess u had a great day,0,0,0,False,False,False,False,83,20,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
You too can WIN§ big in the StarTimes ExtraTime Promo by recharging through QuickTeller. Visit QuickTeller.com/Startimes .4 cars,1,1,1,False,False,False,False,128,18,False,False,False,True,False,False,False,False,False,False,Medium,Both Correct
"Today is Ogunfeyitimi Keny's birthday. Reply to post on his Timeline or reply 1 to post ""Happy Birthday!"".",1,1,1,False,False,False,False,106,18,False,False,False,False,False,False,False,False,False,True,Medium,Both Correct
Transfer 080XXXXX76 90 1414,1,1,1,False,False,False,False,27,4,False,True,False,False,False,False,False,False,False,False,Very Short,Both Correct
08068378310-Hilton hotel,0,0,1,False,True,False,True,24,2,False,True,False,False,False,False,False,False,False,False,Very Short,DistilBERT Wrong Only
You have used up your Monthly Internet Plan.Browsing now costs 5k per kb.Auto renewal applies at validity.Text help to 229 for more info,0,1,1,True,True,True,False,136,23,False,False,True,False,True,False,False,False,False,False,Medium,Both Wrong
Really,0,0,0,False,False,False,False,6,1,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
Tell prof or the assistant what u learnt from the orientation too. I am just at my appointment. May not be done until about 3:30,0,0,0,False,False,False,False,128,25,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
Dear Customer you recharged 100.00 naira and you have been rewarded with 50.00 naira for national calls,0,1,1,True,True,True,False,103,17,False,False,False,False,False,False,False,True,False,False,Medium,Both Wrong
Wake-Keep for Dr. OLOKODE  5pm today at Freeman Methodist Church,0,0,0,False,False,False,False,64,10,False,False,False,True,False,False,False,False,False,False,Short,Both Correct
I'm in church ma.,0,0,0,False,False,False,False,17,4,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
Today is World Health Day. Learn more about how to protect yourself from Vector- borne diseases. Dial *700*5# & follow the prompts. Starts at N10/day,1,1,0,False,True,False,True,149,25,False,True,False,False,False,False,True,False,False,False,Medium,DistilBERT Wrong Only
You need to come now if u are going to church with us,0,0,0,False,False,False,False,53,13,False,False,False,False,True,False,False,False,False,False,Short,Both Correct
8.13E+14,0,0,1,False,True,False,True,8,1,False,False,False,False,False,False,False,False,False,False,Very Short,DistilBERT Wrong Only
Acct: ******1736Amt: NGN100.00 DrDesc: Airtime Purchase-USSD-101CT0000000000003948463¿USSDAvail Bal: NGN67,0,0,0,False,False,False,False,106,8,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
If you are in need of more creative,1,0,1,True,False,False,True,35,8,False,False,False,False,False,False,False,False,False,False,Short,SVM Wrong Only
Chelsea's new signing Christian Atsu will benefit from his season-long loan to Dutch side Vitesse,1,1,1,False,False,False,False,97,15,False,False,False,False,False,True,False,False,False,False,Medium,Both Correct
Thanks alot for today. God bless u much,0,0,0,False,False,False,False,39,8,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Medical: Sudden intense pain on either side of your body may be caused by Kidney stones. Don't panic! Take plenty of water,1,1,1,False,False,False,False,122,22,False,False,False,False,False,False,False,False,False,True,Medium,Both Correct
"Today is Olajide Folasade Janet's birthday. Reply to post on her Timeline or reply 1 to post ""Happy Birthday!"".",1,1,1,False,False,False,False,111,19,False,False,False,False,False,False,False,False,False,True,Medium,Both Correct
Do not love the one who is beautiful for the world but love the one who makes your world beautiful.,1,1,1,False,False,False,False,99,20,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
AlertZAcct:200**001DT:7/25/2014:8:42 PMMC Loc ATM Wdl-70578525    --UNAAB UNAAB MFB DR Amt:3,0,0,0,False,False,False,False,92,10,False,True,False,False,False,False,False,False,False,False,Medium,Both Correct
I want a domain.  Www.promaq.com  please help me check the availability so I can send the cash.,0,0,0,False,False,False,False,95,17,True,False,True,False,False,True,False,False,False,False,Medium,Both Correct
What matters is to live in the present,1,1,1,False,False,False,False,38,8,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Dear Mr. ONYEKA,0,0,0,False,False,False,False,15,3,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
01XXXXXX69 david blessing onyero.gtb,0,0,0,False,False,False,False,36,4,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Infomania (noun): The compulsive desire to check or accumulate news & information. Txt VOCAB to 700 to learn more fun words @N50/Wk. Txt STOP to 33111 to OptOut,1,1,1,False,False,False,False,160,28,False,True,False,False,False,False,False,False,False,False,Medium,Both Correct
Hello team! I will coord. Folake will teach ns-3 supported by Tosin; i teach Matlab rudiments supported by all. Biodun & Princewill will demonstrate data analysis using their project. Pls see later today for briefing. Thx & God is blessing you.,0,0,0,False,False,False,False,244,41,False,False,False,False,False,False,False,False,False,True,Long,Both Correct
Good day Sir/Ma,0,0,0,False,False,False,False,15,3,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
Happy birthday to you sir. God bless your days and keep you long for us sir. Wale.,0,0,0,False,False,False,False,82,17,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
Can we stop by at giant eagle for the connect card on our way home??,0,0,0,False,False,False,False,68,15,False,False,False,False,False,True,False,False,True,False,Short,Both Correct
Dis is folashade.let's make it 6pm.and pls let's meet at d front of d library cos Ill b waiting 4 u der.i'm sorry.call me wen u get der.God bless,0,0,0,False,False,False,False,145,29,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
PUNCH NEWSTHURSDAY,1,1,1,False,False,False,False,18,2,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
AlertZAcct:200**001DT:8/8/2014:2:56 PMPOS Intl- GOOGLE *WhatsApp - 49D3ABDR Amt:161.62Br:Head OfficeBal:13,0,0,0,False,False,False,False,106,9,False,True,False,False,False,False,False,False,False,False,Medium,Both Correct
30XXXXXX10 Ayandiran Bolanle Khadijat(first bank),0,0,0,False,False,False,False,49,5,False,False,False,False,False,True,False,False,False,False,Short,Both Correct
Good day senior Friend,0,0,0,False,False,False,False,22,4,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
help,1,1,1,False,False,False,False,4,1,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
Ameen. Many thanx.,0,0,0,False,False,False,False,18,3,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
Next time you find yourself in a hopeless situation,1,1,1,False,False,False,False,51,9,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
We have N200 Airtime for use today,1,1,1,False,False,False,False,34,7,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
GENERAL,0,0,1,False,True,False,True,7,1,False,False,False,False,False,False,False,False,False,False,Very Short,DistilBERT Wrong Only
Get the Sun Newspaper delivered to your mobile phone everyday! Text SNW to 4900 @N30 weekly.,1,1,1,False,False,False,False,92,16,False,True,False,False,False,False,False,False,False,True,Medium,Both Correct
It's Elclassico! Get live Updates on your phone as Barcelona takes on Real Madrid in the Copa Del Rey Cup Final. Dial *244#. Service cost N20 daily,1,1,1,False,False,False,False,147,27,False,True,True,False,False,False,True,False,False,True,Medium,Both Correct
Beloved workers. Trust u had a gr8 week.Dis is 2 in4m u dat d date 4 worker's retreat has bn shifted 2 11-13th Feb,0,0,0,False,False,False,False,114,24,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
WIFI,1,0,1,True,False,False,True,4,1,False,False,False,False,False,False,False,False,False,False,Very Short,SVM Wrong Only
Reg*357786055638095*,1,1,0,False,True,False,True,20,1,False,True,False,False,False,False,False,False,False,False,Very Short,DistilBERT Wrong Only
Enjoy affordable internet access with 10MB daily Internet plan. Text 104 to 131 to activate for only N100 daily.,1,1,1,False,False,False,False,112,19,False,False,False,False,False,False,True,False,False,False,Medium,Both Correct
A BLESD EVENIN 2U IN D NAME OF D LORD,0,0,0,False,False,False,False,37,10,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Medical: Concerned about weight gain in spite of all your efforts to manage your weight? You may have low thyroid hormonal levels. See a doctor for a test.,1,0,1,True,False,False,True,155,28,False,False,False,False,False,False,False,False,True,False,Medium,SVM Wrong Only
The lord shall supply all your needs according to His riches in glory by Christ Jesus. For more Prayers/Confessions from Rhapsody text  ROR to 5036,1,1,1,False,False,False,False,147,25,False,True,False,False,False,False,False,False,False,False,Medium,Both Correct
Money received.Car already with the mecho with advice to exercise a little more patience just in case a good buyer may come forward,0,0,0,False,False,False,False,131,23,False,False,True,False,False,False,False,False,False,False,Medium,Both Correct
Relax. Tell Olamide to flash me when you get home today. I want to talk with all of you OK. Just keep been a Good girl. It's a matter of time. Love u sister,0,0,0,False,False,False,False,156,34,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
P67,0,0,1,False,True,False,True,3,1,False,False,False,False,False,False,False,False,False,False,Very Short,DistilBERT Wrong Only
Change is not a threat its an opportunity. Transform your business today with money shop. Text YES to 5021 to subscribe. N50/wkly.Text STOP to unsubscribe,1,1,1,False,False,False,False,154,25,False,True,True,False,False,False,True,False,False,False,Medium,Both Correct
Secure your life from viruses & sickness,1,1,1,False,False,False,False,40,7,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
As the holy month of Ramadan ends,0,0,0,False,False,False,False,33,7,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Am reli down....i wll xplain tins 2 u beta 2mrw....wil cum c u in d mrn...am reli nt apy....am at a frnds place,0,0,0,False,False,False,False,111,23,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
JOKE. Akpos called the president,1,1,1,False,False,False,False,32,5,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
freshers alive holds today @dewot center by 4pm.pls b reminded dat those who applied 4bursary should com 4 intrview @LFC obantoko by 10am,0,0,0,False,False,False,False,137,23,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
Am wishin u a very prosperous new year and welcome to 2 016 the year of uncommon reward,0,0,0,False,False,False,False,87,18,False,False,False,False,False,False,False,True,False,False,Medium,Both Correct
Sorry about d delay and thanks for participating in planet puzzle on planet TV....this is your airtime. 3911292876318562     3243022258718638.,0,0,0,False,False,False,False,142,19,False,True,False,False,False,False,False,False,False,False,Medium,Both Correct
Medical: Constipation can make stools hard,1,0,1,True,False,False,True,42,6,False,False,False,False,False,False,False,False,False,False,Short,SVM Wrong Only
9.06E+14,0,0,1,False,True,False,True,8,1,False,False,False,False,False,False,False,False,False,False,Very Short,DistilBERT Wrong Only
One hurts you so that you may find someone who can heal you,1,0,0,True,True,True,False,59,13,False,False,False,False,False,False,False,False,False,False,Short,Both Wrong
Join us as we celebrate the union between Esther Falana and Bunmi Oluwalana on 17th May @ RCCG Olorunnisola Atitebi Bankole Str,0,0,0,False,False,False,False,127,22,False,False,False,False,False,True,False,False,False,False,Medium,Both Correct
A million and one THANKS is nt enough to appreciate a beautiful Person like u. Txs 4 d luv,0,0,0,False,False,False,False,90,19,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
Pls call me,0,0,0,False,False,False,False,11,3,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
The road to success is always under construction.You could encounter potholes and delays but you must keep your eye on the goal and keep moving.,1,1,1,False,False,False,False,144,25,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
Ok. Just want to be sure that's what u want to do. Will be there at about 9:15 or so,0,0,0,False,False,False,False,84,20,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
Txn Id R140618.2312.210010 to recharge 90 NGN from 7087214890 is successful. New balance is 90.02 NGN,0,0,0,False,False,False,False,101,16,False,True,False,False,False,True,False,False,False,False,Medium,Both Correct
Missing someone you love? Send them Missing You Quotes so that they will know that you miss them. To Enjoy 5 days FREE Alerts on trial,1,1,1,False,False,False,False,134,26,False,False,False,True,True,False,False,False,True,False,Medium,Both Correct
