message,true_label,prediction,elapsed_seconds
Life has no second edition to correct it later. It has only one edition which should be the best so be careful while writing every page.,spam,ham,5.741021633148193
Salami Afusat 00XXXXXX33Gtb,ham,spam,2.2432737350463867
Did you know that employers only spend 6 seconds scanning through CVs? Make the most of it! To receive daily job search tips from SHORTLIST,spam,spam,2.437866687774658
The bus comes to Monroeville and u can call me once u get to Monroeville and I will tell u where to get off the bus,ham,ham,2.3957011699676514
Come.See.Experience..Acquire! Share the fun & gains @ the Convocation Research & Agric. Fair @ 10am 2day. Venue: Ceremonial Building. Don't be told. Be there.,ham,spam,2.4194881916046143
On your main balance,spam,spam,2.4129958152770996
Morning sir. Ao is the family and work over there? Can u kindly send me Dr. Ezobo's number I want to find out about his structure at isolu.,ham,spam,2.4074997901916504
B4 pple Begin 2 circul8 pirates,ham,spam,2.4026577472686768
Tnks plant t.v,ham,ham,2.371359348297119
Wow! Airtel has given you 5mins FREE Airtel to Airtel credit to call your friends & loved ones this week. Hurry start calling. Call 141 now for mor,ham,spam,2.423917770385742
As u step in2 anoda yr of ur lif,ham,spam,2.3997879028320312
Pls am i stil seein u 2dae,ham,spam,2.3940014839172363
Av been tryin to reach u bt ur no has nt been going. Anyway guess u had a great day,ham,ham,2.392062187194824
You too can WIN§ big in the StarTimes ExtraTime Promo by recharging through QuickTeller. Visit QuickTeller.com/Startimes .4 cars,spam,spam,2.4003610610961914
"Today is Ogunfeyitimi Keny's birthday. Reply to post on his Timeline or reply 1 to post ""Happy Birthday!"".",spam,spam,2.3998844623565674
Transfer 080XXXXX76 90 1414,spam,spam,2.3954131603240967
08068378310-Hilton hotel,ham,spam,2.3803961277008057
You have used up your Monthly Internet Plan.Browsing now costs 5k per kb.Auto renewal applies at validity.Text help to 229 for more info,ham,spam,2.4375016689300537
Really,ham,ham,2.3759524822235107
Tell prof or the assistant what u learnt from the orientation too. I am just at my appointment. May not be done until about 3:30,ham,ham,2.399367094039917
Dear Customer you recharged 100.00 naira and you have been rewarded with 50.00 naira for national calls,ham,spam,2.422335386276245
Wake-Keep for Dr. OLOKODE  5pm today at Freeman Methodist Church,ham,spam,2.3937456607818604
I'm in church ma.,ham,ham,2.3621480464935303
Today is World Health Day. Learn more about how to protect yourself from Vector- borne diseases. Dial *700*5# & follow the prompts. Starts at N10/day,spam,spam,2.4404044151306152
You need to come now if u are going to church with us,ham,ham,2.3763866424560547
8.13E+14,ham,spam,2.3987338542938232
Acct: ******1736Amt: NGN100.00 DrDesc: Airtime Purchase-USSD-101CT0000000000003948463¿USSDAvail Bal: NGN67,ham,spam,2.413645029067993
If you are in need of more creative,spam,spam,2.391592025756836
Chelsea's new signing Christian Atsu will benefit from his season-long loan to Dutch side Vitesse,spam,ham,2.3842339515686035
Thanks alot for today. God bless u much,ham,ham,2.3839194774627686
Medical: Sudden intense pain on either side of your body may be caused by Kidney stones. Don't panic! Take plenty of water,spam,ham,2.4095587730407715
