text,true_label,svm_prediction,distilbert_prediction,svm_error,distilbert_error,both_wrong,models_disagree
Life has no second edition to correct it later. It has only one edition which should be the best so be careful while writing every page.,1,0,1,True,False,False,True
Salami Afusat 00XXXXXX33Gtb,0,1,0,True,False,False,True
Did you know that employers only spend 6 seconds scanning through CVs? Make the most of it! To receive daily job search tips from SHORTLIST,1,1,1,False,False,False,False
The bus comes to Monroeville and u can call me once u get to Monroeville and I will tell u where to get off the bus,0,0,0,False,False,False,False
Come.See.Experience..Acquire! Share the fun & gains @ the Convocation Research & Agric. Fair @ 10am 2day. Venue: Ceremonial Building. Don't be told. Be there.,0,0,0,False,False,False,False
On your main balance,1,1,1,False,False,False,False
Morning sir. Ao is the family and work over there? Can u kindly send me Dr. Ezobo's number I want to find out about his structure at isolu.,0,0,0,False,False,False,False
B4 pple Begin 2 circul8 pirates,0,0,0,False,False,False,False
Tnks plant t.v,0,0,0,False,False,False,False
Wow! Airtel has given you 5mins FREE Airtel to Airtel credit to call your friends & loved ones this week. Hurry start calling. Call 141 now for mor,0,1,1,True,True,True,False
As u step in2 anoda yr of ur lif,0,0,0,False,False,False,False
Pls am i stil seein u 2dae,0,0,0,False,False,False,False
Av been tryin to reach u bt ur no has nt been going. Anyway guess u had a great day,0,0,0,False,False,False,False
You too can WIN§ big in the StarTimes ExtraTime Promo by recharging through QuickTeller. Visit QuickTeller.com/Startimes .4 cars,1,1,1,False,False,False,False
"Today is Ogunfeyitimi Keny's birthday. Reply to post on his Timeline or reply 1 to post ""Happy Birthday!"".",1,1,1,False,False,False,False
Transfer 080XXXXX76 90 1414,1,1,1,False,False,False,False
08068378310-Hilton hotel,0,0,1,False,True,False,True
You have used up your Monthly Internet Plan.Browsing now costs 5k per kb.Auto renewal applies at validity.Text help to 229 for more info,0,1,1,True,True,True,False
Really,0,0,0,False,False,False,False
Tell prof or the assistant what u learnt from the orientation too. I am just at my appointment. May not be done until about 3:30,0,0,0,False,False,False,False
Dear Customer you recharged 100.00 naira and you have been rewarded with 50.00 naira for national calls,0,1,1,True,True,True,False
Wake-Keep for Dr. OLOKODE  5pm today at Freeman Methodist Church,0,0,0,False,False,False,False
I'm in church ma.,0,0,0,False,False,False,False
Today is World Health Day. Learn more about how to protect yourself from Vector- borne diseases. Dial *700*5# & follow the prompts. Starts at N10/day,1,1,0,False,True,False,True
You need to come now if u are going to church with us,0,0,0,False,False,False,False
8.13E+14,0,0,1,False,True,False,True
Acct: ******1736Amt: NGN100.00 DrDesc: Airtime Purchase-USSD-101CT0000000000003948463¿USSDAvail Bal: NGN67,0,0,0,False,False,False,False
If you are in need of more creative,1,0,1,True,False,False,True
Chelsea's new signing Christian Atsu will benefit from his season-long loan to Dutch side Vitesse,1,1,1,False,False,False,False
Thanks alot for today. God bless u much,0,0,0,False,False,False,False
Medical: Sudden intense pain on either side of your body may be caused by Kidney stones. Don't panic! Take plenty of water,1,1,1,False,False,False,False
"Today is Olajide Folasade Janet's birthday. Reply to post on her Timeline or reply 1 to post ""Happy Birthday!"".",1,1,1,False,False,False,False
Do not love the one who is beautiful for the world but love the one who makes your world beautiful.,1,1,1,False,False,False,False
AlertZAcct:200**001DT:7/25/2014:8:42 PMMC Loc ATM Wdl-70578525    --UNAAB UNAAB MFB DR Amt:3,0,0,0,False,False,False,False
I want a domain.  Www.promaq.com  please help me check the availability so I can send the cash.,0,0,0,False,False,False,False
What matters is to live in the present,1,1,1,False,False,False,False
Dear Mr. ONYEKA,0,0,0,False,False,False,False
01XXXXXX69 david blessing onyero.gtb,0,0,0,False,False,False,False
Infomania (noun): The compulsive desire to check or accumulate news & information. Txt VOCAB to 700 to learn more fun words @N50/Wk. Txt STOP to 33111 to OptOut,1,1,1,False,False,False,False
Hello team! I will coord. Folake will teach ns-3 supported by Tosin; i teach Matlab rudiments supported by all. Biodun & Princewill will demonstrate data analysis using their project. Pls see later today for briefing. Thx & God is blessing you.,0,0,0,False,False,False,False
Good day Sir/Ma,0,0,0,False,False,False,False
Happy birthday to you sir. God bless your days and keep you long for us sir. Wale.,0,0,0,False,False,False,False
Can we stop by at giant eagle for the connect card on our way home??,0,0,0,False,False,False,False
Dis is folashade.let's make it 6pm.and pls let's meet at d front of d library cos Ill b waiting 4 u der.i'm sorry.call me wen u get der.God bless,0,0,0,False,False,False,False
PUNCH NEWSTHURSDAY,1,1,1,False,False,False,False
AlertZAcct:200**001DT:8/8/2014:2:56 PMPOS Intl- GOOGLE *WhatsApp - 49D3ABDR Amt:161.62Br:Head OfficeBal:13,0,0,0,False,False,False,False
30XXXXXX10 Ayandiran Bolanle Khadijat(first bank),0,0,0,False,False,False,False
Good day senior Friend,0,0,0,False,False,False,False
help,1,1,1,False,False,False,False
Ameen. Many thanx.,0,0,0,False,False,False,False
Next time you find yourself in a hopeless situation,1,1,1,False,False,False,False
We have N200 Airtime for use today,1,1,1,False,False,False,False
GENERAL,0,0,1,False,True,False,True
Get the Sun Newspaper delivered to your mobile phone everyday! Text SNW to 4900 @N30 weekly.,1,1,1,False,False,False,False
It's Elclassico! Get live Updates on your phone as Barcelona takes on Real Madrid in the Copa Del Rey Cup Final. Dial *244#. Service cost N20 daily,1,1,1,False,False,False,False
Beloved workers. Trust u had a gr8 week.Dis is 2 in4m u dat d date 4 worker's retreat has bn shifted 2 11-13th Feb,0,0,0,False,False,False,False
WIFI,1,0,1,True,False,False,True
Reg*357786055638095*,1,1,0,False,True,False,True
Enjoy affordable internet access with 10MB daily Internet plan. Text 104 to 131 to activate for only N100 daily.,1,1,1,False,False,False,False
A BLESD EVENIN 2U IN D NAME OF D LORD,0,0,0,False,False,False,False
Medical: Concerned about weight gain in spite of all your efforts to manage your weight? You may have low thyroid hormonal levels. See a doctor for a test.,1,0,1,True,False,False,True
The lord shall supply all your needs according to His riches in glory by Christ Jesus. For more Prayers/Confessions from Rhapsody text  ROR to 5036,1,1,1,False,False,False,False
Money received.Car already with the mecho with advice to exercise a little more patience just in case a good buyer may come forward,0,0,0,False,False,False,False
Relax. Tell Olamide to flash me when you get home today. I want to talk with all of you OK. Just keep been a Good girl. It's a matter of time. Love u sister,0,0,0,False,False,False,False
P67,0,0,1,False,True,False,True
Change is not a threat its an opportunity. Transform your business today with money shop. Text YES to 5021 to subscribe. N50/wkly.Text STOP to unsubscribe,1,1,1,False,False,False,False
Secure your life from viruses & sickness,1,1,1,False,False,False,False
As the holy month of Ramadan ends,0,0,0,False,False,False,False
Am reli down....i wll xplain tins 2 u beta 2mrw....wil cum c u in d mrn...am reli nt apy....am at a frnds place,0,0,0,False,False,False,False
JOKE. Akpos called the president,1,1,1,False,False,False,False
freshers alive holds today @dewot center by 4pm.pls b reminded dat those who applied 4bursary should com 4 intrview @LFC obantoko by 10am,0,0,0,False,False,False,False
Am wishin u a very prosperous new year and welcome to 2 016 the year of uncommon reward,0,0,0,False,False,False,False
Sorry about d delay and thanks for participating in planet puzzle on planet TV....this is your airtime. 3911292876318562     3243022258718638.,0,0,0,False,False,False,False
Medical: Constipation can make stools hard,1,0,1,True,False,False,True
9.06E+14,0,0,1,False,True,False,True
One hurts you so that you may find someone who can heal you,1,0,0,True,True,True,False
Join us as we celebrate the union between Esther Falana and Bunmi Oluwalana on 17th May @ RCCG Olorunnisola Atitebi Bankole Str,0,0,0,False,False,False,False
A million and one THANKS is nt enough to appreciate a beautiful Person like u. Txs 4 d luv,0,0,0,False,False,False,False
Pls call me,0,0,0,False,False,False,False
The road to success is always under construction.You could encounter potholes and delays but you must keep your eye on the goal and keep moving.,1,1,1,False,False,False,False
Ok. Just want to be sure that's what u want to do. Will be there at about 9:15 or so,0,0,0,False,False,False,False
Txn Id R140618.2312.210010 to recharge 90 NGN from 7087214890 is successful. New balance is 90.02 NGN,0,0,0,False,False,False,False
Missing someone you love? Send them Missing You Quotes so that they will know that you miss them. To Enjoy 5 days FREE Alerts on trial,1,1,1,False,False,False,False
Stand a chance to Win a trip to Obudu Cattle Ranch and Colouful Calabar Carnival for 6 nights. Text XMAS to 35050 at N100 only!,1,1,1,False,False,False,False
Never run out of airtime! Dial *500# to subscribe for automatic credit.,1,1,0,False,True,False,True
Mr Solomon - 07XXXXXXX04,0,0,0,False,False,False,False
Www.thisisgarena.com www.kevronconsultingltd.com www.upgrade101online.com  www.bmb.jcifunaab.com use this ones as reference for now,1,1,0,False,True,False,True
Acct: ******1736Amt: NGN100.00 DrDesc: Airtime Purchase-USSD-101CT0000000000005087426¿USSDAvail Bal: NGN107,0,0,0,False,False,False,False
Olabisi I had left the place when your message came in,0,0,0,False,False,False,False
Helooooo Sir.... I need the stuff nw!!!,0,0,0,False,False,False,False
Evenin sis mi,0,0,0,False,False,False,False
I didn't say I don't love you all I said was that Am not ready and u should give me sometime since u said I Am not d person u love and u kept saying Am lying Fine you can just go,0,0,0,False,False,False,False
Gud morning. pls get d address of d hotel /or how i can get taxi to d hotel n text me wit it.,0,0,0,False,False,False,False
Acct: ******1736Amt: NGN33,0,0,0,False,False,False,False
17232759 03/09/14 22:08 Airtime Purchase 7030058860 to 8000000001 NGN 100 Fail17232755 03/09/14 22:08 Airtime Purchase 7030058860 to 8000000001 NGN 100 Fail,1,0,1,True,False,False,True
on ur way or not? it's getting dark,0,0,0,False,False,False,False
G-312106 is your Google verification code.,1,1,1,False,False,False,False
Ok you'll see me now try locate ecobank let's meet there,0,0,0,False,False,False,False
Need airtime? Top up INSTANTLY with our magic code. Dial *919*Amount# to recharge your phone line. To top up for someone,1,1,1,False,False,False,False
Www.kevronconsultingltd.com,0,0,0,False,False,False,False
Its tobi,0,0,0,False,False,False,False
Y'ello! Your data balance is 250.33MB,1,1,1,False,False,False,False
N100 was transferred to you from the 08068119076 on 19/07/14 07:48 via Share & Sell. Your new account balance is N120.39.,1,1,1,False,False,False,False
May this month deliver unto us all our outstanding victories.(amen). Happy new month brother,0,0,0,False,False,False,False
Acct name: A.  ambroseAcct num: 00XXXXXX80 bank: gtb,0,0,0,False,False,False,False
Txn Id R140704.1451.220105 to recharge 45 NGN from 7087214890 is successful. New balance is 48.24 NGN,0,0,0,False,False,False,False
Your FB notifications for Today!!  1-friend¿request,1,1,1,False,False,False,False
"It is the season to get scriptures inspired by God. Claim 7days free of ""God's Word""",1,1,1,False,False,False,False
What Four Letter Word Begins With F And Ends With K,0,1,0,True,False,False,True
SMART,1,1,1,False,False,False,False
Welcome to Year Twenty Sixteen! God is walking with you. Your year shall be full of joy,0,1,1,True,True,True,False
GOOD DAY MA. PLEASE U SHOULD NOT FORGET MY ENVELOP,0,0,0,False,False,False,False
Sorry i went to d mosque dis is jubril mtn no 0813 940 7909,0,0,0,False,False,False,False
Name:olayiwola Oluwafolake    Bank - gtb Account No - 00XXXXXX36,0,0,0,False,False,False,False
You transferred N50 to 08XXXXXX508 on 17/06/14 08:46. Your new account balance is N0. Thanks for using Share & Sell.,1,1,1,False,False,False,False
Acct: ******1736Amt: NGN64.00 DrDesc: SI TRANSACTION (DIFFERENT CUSTOMERS)-SMS CHARGE FOR MAY 2014Avail Bal: NGN106,0,0,0,False,False,False,False
3.33E+11,0,0,1,False,True,False,True
Good morning pls do not forget the lamp o . Thanks God bless,0,0,0,False,False,False,False
oyegunleadedayo@yahoo.com,0,0,0,False,False,False,False
Please call me. Watch Man U vs West Brom on Sat 7 November,1,0,0,True,True,True,False
Did u plan to see or have seen a prof Wosu on your ID?,0,0,0,False,False,False,False
Please call me. I Love you. Watch Chelsea vs West Ham,0,0,0,False,False,False,False
williams Frank 07xxxxxxx344...akplor kingsley 081XXXXXX61,0,0,0,False,False,False,False
9.30E+14,0,0,1,False,True,False,True
Does your number end in 9?TODAY 25/07you're chosen to participate for the 'Nigeria Centenary 100 Million Naira Mega Jackpot'!Send WIN to 35777!N100/SMS,1,1,1,False,False,False,False
Dude,0,0,0,False,False,False,False
Its not the strongest of species that survives,1,0,1,True,False,False,True
Ese o. Shey e ti ka darda sha,0,0,0,False,False,False,False
Amen and Amen. Tnx 4 ever bn there,0,0,0,False,False,False,False
Acct: ******2491Amt: NGN200.00 DrDesc: POS-GTBank EBranch UNAAB   Ogun    OGNG STAN9999006519Avail Bal: NGN7,0,0,0,False,False,False,False
Full Crunch: Lie on your back and raise your legs,1,1,1,False,False,False,False
Dr adesina gave us apptmnt for 12pm in his office,0,0,0,False,False,False,False
Get the latest sports news daily ranging from football,1,1,1,False,False,False,False
When comparing your life with others,1,1,1,False,False,False,False
PUNCH NEWSSUNDAY,1,1,1,False,False,False,False
Y.ello Peeps!Watch the exciting MTN Project Fame 7.0 Elimination Show on Sat: NTA(5:30-6:30pm),1,1,1,False,False,False,False
A good relation does not depends on how good understanding we have,1,0,1,True,False,False,True
Are u not hungry yet?,0,0,0,False,False,False,False
May d peace of God Almighty b wit,0,0,0,False,False,False,False
Pls bring d cooler....or bring d ewa...pls call me,0,0,0,False,False,False,False
Each moment in a day has  its own value,0,0,1,False,True,False,True
No 10 olorunmbe Street wemabod Estate wahum bustop off Adeniyi Jones Ikeja.  Company name Skystar,0,0,0,False,False,False,False
Your Acct 3041207489 Has Been Debited with NGN24.00 On 25-JAN-2014 05:21:56 By 27-Dec-2013 to 26-JAN-2014 SMS Alert Cha. Bal: NGN1,0,0,0,False,False,False,False
Transfer 08XXXXXX08 200 2580,0,0,0,False,False,False,False
Come to my office afta ur  class.,0,0,0,False,False,False,False
Ayo i make chichi yesterday i call to give u one bottle but u refuse to pick up ur call. thank u. I know we make agreement of not calling each other. I call to give not to disstop.,0,0,0,False,False,False,False
Watch Man Utd v Real Madrid LIVE on your mobile phone this Saturday using the ManU Club App! Text App to 5836 to download @ N50. Data charges apply. Glo!,1,1,1,False,False,False,False
Acct: ******1736Amt: NGN60,0,0,0,False,False,False,False
You currently have an ACTIVE discount Notification. Dial *135*6# to turn this off.,1,1,1,False,False,False,False
Yello! you have used 50% of your BB10 data plan,1,1,1,False,False,False,False
Your Balances are BB Absolute/Complete: 1637MB till 16-Mar.,1,1,1,False,False,False,False
Colombia V Cote d'Ivoire 5PM,1,0,1,True,False,False,True
Hi dear was a morningg,0,0,0,False,False,False,False
@CNNMoney: .@twitter's customer base is shrinking   https://t.co/flz3ibdZqO/s/1zHt https://t.co/XjJIUdzSAW/s/M_SL,1,1,1,False,False,False,False
Hmmm...OK ooooo.extend my gritns 2 Solomon and medo,0,0,0,False,False,False,False
Yes 5th ave. It might take u abt 5mins to walk. You stay on the right side of 5th in d direction of the traffic. She will also call u,0,0,0,False,False,False,False
Good morning sir. I'm Azeez Olatunji. CSC 400 level that missed your test when i went to kano. I'm just reminding you sir. Have a nice weekend.,0,0,0,False,False,False,False
Name: Abiodun MscTel: 080XXXXX597Name: Abiodun Msc1Tel: 080XXXXXXX41,0,0,0,False,False,False,False
GREAT NEWS!We celebrate Nigeria's 100 years &we give away the 'Nigeria Centenary 100 Million Naira Mega Jackpot'!Send WIN to 35777 & participate!N100/SMS,1,1,1,False,False,False,False
"Skillpolo invited you to Facebook. Learn more: http://fb.com/l/btkEH8MurM56Vm Reply ""stop"" to stop getting Facebook texts",1,1,1,False,False,False,False
Never run out of Airtime. Dial *500# to subscribe for automatic credit.,1,1,0,False,True,False,True
Please call me. 'Scape Goat remix'. by Dbanj & Kanye West is ready for download on MTN Play. Text 2 to 700 to get it for N75. MTN subscribers only,0,1,1,True,True,True,False
